Family_ch,Alphabet,scientific_name
尺蛾科,D,Dischidesia cinerea
刺蛾科,A,Altha melanopsis
尺蛾科,C,Catarhoe obscura
尺蛾科,O,Ourapteryx changi
夜蛾科,K,Karana gemmifera
裳蛾科,N,Nudaria suffusa
裳蛾科,T,Thyas juno
尺蛾科,B,Borbacha pardaria
尺蛾科,D,Discoglypha locupletata
鉤蛾科,L,Leucoblepsis taiwanensis
夜蛾科,C,Chorsia mollicula
裳蛾科,P,Perciana taiwana
夜蛾科,C,Ctenoplusia adiaphora
鉤蛾科,O,Oreta brunnea
裳蛾科,C,Chinasa costalis bicoloriceps
裳蛾科,E,Ercheia cyllaria
螟蛾科,T,Teliphasa nubilosa
尺蛾科,C,Chlorissa arcana
瘤蛾科,K,Kerala lentiginosa
裳蛾科,E,Eugoa grisea
尺蛾科,A,Aethalura duplicata
尺蛾科,P,Peratostega deletaria deletaria
瘤蛾科,B,Blenina quinaria
尺蛾科,H,Heterophleps variegata
尺蛾科,E,Entomopteryx rubridisca
尺蛾科,S,Sibatania arizana arizana
裳蛾科,L,Lophoruza lunifera
裳蛾科,E,Eudocima homaena
草螟蛾科,G,Glyphodes duplicalis
裳蛾科,E,Enispa elataria
裳蛾科,H,Hipoepa fractalis
草螟蛾科,G,Glyphodes onychinalis
舟蛾科,C,Cnethodonta grisescens baibarana
舟蛾科,T,Tarsolepis japonica
刺蛾科,G,Griseothosea fasciata
駝蛾科,H,Hyblaea firmamentum
帶蛾科,A,Apha horishana
天蛾科,M,Macroglossum neotroglodytus
天蠶蛾科,R,Rinaca thibeta okurai
裳蛾科,C,Chalciope mygdon
尺蛾科,E,Ectropis excellens
舟蛾科,S,Syntypistis pallidifascia pallidifascia
舟蛾科,H,Higena trichosticha
裳蛾科,P,Pseudosphetta moorei
尺蛾科,E,Ectropis arizanensis
天蛾科,H,Hippotion velox
夜蛾科,X,Xanthodes transversa
天蛾科,M,Macroglossum sitiene
天蛾科,A,Ampelophaga rubiginosa myosotis
裳蛾科,H,Hulodes caranea
裳蛾科,N,Nudaria diaphanella
刺蛾科,B,Birthamula rufa
尺蛾科,A,Arichanna picaria
尺蛾科,S,Synegiodes ornata
裳蛾科,L,Locharna strigipennis
展足蛾科,S,Stathmopoda fusciumeraris
尺蛾科,E,Ectropis bhurmitra
裳蛾科,O,Ophiusa disjungens indiscriminata
天蠶蛾科,S,Saturnia pyretorum
尺蛾科,N,Naxidia punctata
天蛾科,M,Macroglossum saga
裳蛾科,B,Bastilla fulvotaenia
尺蛾科,G,Gymnoscelis tristrigosa
斑蛾科,P,Pidorus atratus
裳蛾科,I,Ischyja ferrifracta
尺蛾科,A,Agathia hemithearia
夜蛾科,C,Chrysodeixis eriosoma
裳蛾科,E,Eudocima okurai
草螟蛾科,G,Glyphodes bivitralis
鉤蛾科,H,Habrosyne indica formosana
舟蛾科,B,Benbowia takamukuanus
草螟蛾科,C,Crocidolomia pavonana
裳蛾科,C,Carsina kanshireiensis
裳蛾科,B,Bastilla joviana joviana
尺蛾科,B,Biston marginata
裳蛾科,A,Achaea janata
天蛾科,L,Langia zenzeroides formosana
尺蛾科,P,Psyra spurcataria
尾夜蛾科,L,Lophoptera squammigera
天蛾科,C,Cechetra minor
天蛾科,M,Marumba saishiuana formosana
夜蛾科,C,Checupa stegeri
菜蛾科,P,Plutella xylostella
尺蛾科,E,Ecliptopera delecta
尺蛾科,P,Palpoctenidia phoenicosoma semilauta
尺蛾科,C,Calletaera basipuncta
裳蛾科,E,Eutrogia morosa
草螟蛾科,B,Bocchoris inspersalis
裳蛾科,H,Hypersypnoides punctosa
裳蛾科,H,Hemipsilia coavestis
裳蛾科,H,Hypena sinuosa
